block_number,tx_hash,addr,topics_from_addr,topics_to_addr,value,value_usd,is_sender_victim,num_first_matched_digits,num_last_matched_digits,intended_addr
25643405,0xa0880a04b9f4dd114eb6e5b457a4b6f260c1e1444eef350b62cdc5f1cba8b0ca,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x21Dc8779dee570393a823D7314f76C491f27e557,0x7e4d7afAB755066008897f1EB143b22A63a7f223,2.794894e+23,279489.4,True,4,4,0x7e4D540dBf60B1498800e0476924f6294edcf223
28313788,0xba144f4c4542434bc1ebc2d70030a89f46e81c993842bf79b43ad453cd446d3e,0x55d398326f99059fF775485246999027B3197955,0xA67EFB69A4f58F568aAB1b9d51110102985835b0,0x112C718f900988266d62a037A85618FCADC4B08a,1.5e+23,150000.0,True,3,5,0x112784f5b61079aC2A35Ce739fC96878AA24B08a
39688090,0xc11c5930465a2c33a479b7df63eaa15610dd9ca78c70f788d0f69cfe5e96960d,0x55d398326f99059fF775485246999027B3197955,0xf1efa195df6310279b72ada31aff345c50c7b8d4,0x25f56616171da4eb5709d9c16cfef5e26db02c50,1.44876e+23,144876.0,True,4,6,0x25f5e86e349eeb5e38b6f2a673c732b3deb02c50
33340419,0x266647bc5190cd516f791399ac61b10e876ad75dcc0c6fabb77ccc80f7ead038,0x55d398326f99059fF775485246999027B3197955,0x4b241bfca758d38ff71622de6eaa53d00d7d1e52,0xe72a809b9d9c0741b025c768576da3d2a449dc98,1.329999e+23,132999.9,True,3,4,0xe72deed168473d086539b209315eb2dec6f7dc98
25217974,0x62798e183339f5ed70239a84b4463b7e48f497e1ef0e23ee82b78087195462d4,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x985Ad9419D2E15Cc7EB905eDc1a0F7a12CDA771d,0xD643f1cB22318FAa0636A18417d8f28CDfeAF6fB,1e+23,100000.0,True,4,4,0xd64329DB5E5E6aa09CB6059FFFF319FA3224F6fB
25122331,0x9a4081519e99e2e6fe6add185da7333d44eb28cd1c70df36a32ff8648940cbf5,0x55d398326f99059fF775485246999027B3197955,0x677AcA77868202b68551153B983909D4f4dC3775,0x8AC739aBe10c233C4af8c643B9643D2fc35cEB7B,9.72505e+22,97250.5,True,4,4,0x8ac7CE855841aF58edCA232160F03951Bf76eb7b
25340988,0x12505feedc126def4e118a2b8e970766795d45201a79dbe45f4b2b9a41391375,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x1ed42e498FE6DBB05C57aA4AfcEC33E233C4390F,0x5ebefa3b3414d2C0c8d4D3c64DC5ff8B248De436,9.168e+22,91680.0,True,4,5,0x5EBe2a102C8251c0881e7dC93F7a5A07B5EDe436
27713135,0xa070b46843b57ff4e529cbe7aabb67c99cb36da58510106bb464d1f039e7b3db,0x55d398326f99059fF775485246999027B3197955,0x0eEf183e5eAD6c24b7A9BdB409b55F012F97B051,0x2556be87E96a2d35354dBF9ffF407d08e3757cF1,8.618e+22,86180.0,True,3,5,0x255EC6aC40875499F0a799253630838883A57cF1
29883923,0x4e7dd743e32d51f6f8d0705d20542a15a9a8b40a80e707ad1e1f18147033b81b,0x55d398326f99059fF775485246999027B3197955,0xA8A6aF9293F053cB64eb97A01d466026c18fc9c2,0x6c9351D6c4A65f7247daa59662441B0B0DD01114,7.267054e+22,72670.54000000001,True,4,4,0x6c93Ceee9CbF5ab468C67A0C8EAd4307E7EC1114
25705902,0x13aecc1f514cc95db38a31ada1c9827124aa87360dc11cb1b3dfd7fe0d2499e0,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0xAC362125B06094A0d163B24A2C46F42BCF830A0E,0x2f9233F96ed947f682aFfBee351D5f54C12BC04D,7.000607e+22,70006.07,True,4,5,0x2f9276b2Ac4bD19A25D12227775DB4C45Fcbc04d
