block_number,tx_hash,addr,topics_from_addr,topics_to_addr,value,value_usd,is_sender_victim,num_first_matched_digits,num_last_matched_digits,intended_addr
17818298,0x08255ca0e42a872559437141fa46980e66d907f7668922467d67515b1ebb4b7f,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x407e4B78C16D22b21B5dDcd0B0f7AD9Cb07b9Cbc,0xa7Bf48749D2E4aA29e3209879956b9bAa9E90570,20000000000000.0,20000000.0,True,3,6,0xa7B4BAC8f0f9692e56750aEFB5f6cB5516E90570
16332750,0x2dea87ff34b0d4712d59e582e810d1a8396e469ce7830a61b9521759b28221f1,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x2f10e2358594fD72c7d9e2EEa137Ef1222c03bD5,0x61b697FE7F51d1D6C8299A450cdb15d1C0074c5C,3800000000000.0,3800000.0,True,3,5,0x61b9d3646140C74Fb6D85002d48B019aa7174c5c
17022527,0x11ac26acce0620c50731a94b528419771211779903d6917b05f2bd90e4a6476c,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x6636cEc1dFAEeADAAEdA5C5b2a7540578Fd451f6,0x1cbB23dBB1649de39D3E95DAA0AD1838269B758a,3554610200000.0,3554610.2,True,7,6,0x1CbB23DFbB023D72a1e85f923c2FF8E1299B758a
16648806,0x0911bd6713493e9ab75ef82cc909114218996f0e717b81b71d7bf29fa06e1622,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x081714D70d61d80b078eF0dC88022E08dD53236E,0x74C9bdBea7eAf3d78f13Faa71caE94d38560E1cA,2030000000000.0,2030000.0,True,3,5,0x74C32c78900c23B6773603D320d8061b8450E1cA
16896975,0x48e591d562a5098527c0de850ba44ce21014726434184f693707f62877a16994,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x49D7E0cE8EcB4562E4222d07647871a780BBd1e9,0xbb2EDba85dec700927A8478f70Dee42EdD619455,2000000000000.0,2000000.0,True,3,5,0xBB217c93D4bb15aacc68aE4A3aB7d24Ed4219455
16883271,0x5ae3147442cb9cba98b8b3dc1548a7c27dab29847ca2c126059ca806ad4479c9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x02F35f520e12C9383F8E014fbE03AD73524bE95D,0xC7B14bD840315ec912319cDd43F8532bc9B33A8f,2000000000000.0,2000000.0,True,3,5,0xc7b57d97d9b25a7221CDd56a4CA2987E7E533a8F
16883262,0x7cae29b7d215ef67fa183d4455760fc6e8698bfb2c5f1744dec4749d0c4b88c7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x02F35f520e12C9383F8E014fbE03AD73524bE95D,0xC7B14bD840315ec912319cDd43F8532bc9B33A8f,1999000000000.0,1999000.0,True,3,5,0xc7b57d97d9b25a7221CDd56a4CA2987E7E533a8F
18411034,0x86d39a9fd0e4078223179e6f59d2651963edb07899efc9558c43a0a338fb40a5,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x36fe9FB1145A43E168AECd15C9efC7CFD84875A6,0xEA0d13b07a54F5A54634C12CCa7c10FAc7CBeb14,1660000000000.0,1660000.0,True,4,4,0xEa0ddb84a910b3c711eDCF5473B77a9068FcEb14
17648479,0xf9948a832bfc217451f056fb3dc2df258c6ad525d7c3c184e07eeeee3df7ed09,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xAC15E1b8Da0608fdb6642709DC7bEF8b5d60b3f6,0x9339e77Fb404732d36F83Cd67aa7Fa06271F4126,1499990000000.0,1499990.0,True,4,4,0x9339CF445a302B6E23546475C777b4430e3A4126
19069246,0x371f26eb4b08b37d69b280fa5ea06208750c4bc9cf3258950d63c842f9f01154,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xe8016fc97C0349cE5Ea1Cf5f0ec94b8E8125c954,0xCbA796e82403d2823bb869F50454CE901134c994,1200000000000.0,1200000.0,True,8,6,0xCbA796e887276F89D9b2D71DC106FF1f1634c994
